time,data
9045712.101000056,33607
9045712.107000055,33804
9045712.113000054,33589
9045712.120000053,31317
9045712.275000053,31799
9045712.283000052,32156
9045712.291000051,29135
9045712.29700005,32063
9045712.301000051,34864
9045712.30900005,34855
9045712.31700005,35135
9045712.32300005,35256
9045712.329000048,35264
9045712.337000048,37327
9045712.341000048,37914
9045712.34500005,38374
9045712.353000049,39125
9045712.361000048,39230
9045712.369000047,38908
9045712.374000048,38865
9045712.382000048,34017
9045712.389000047,38636
9045712.397000046,38916
9045712.549000047,38020
9045712.555000046,37108
9045712.624000046,31677
9045712.632000046,36846
9045712.638000045,36930
9045712.646000044,37679
9045712.654000044,37522
9045712.661000043,38101
9045712.664000044,37311
9045712.672000043,37641
9045712.680000043,37984
9045712.917000042,34164
9045712.925000042,34061
9045712.928000042,34034
9045712.934000041,33930
9045712.939000042,33822
9045712.945000041,33690
9045712.95200004,33667
9045712.95800004,33716
9045712.965000039,33685
9045712.974000039,33427
9045712.981000038,33409
9045712.987000037,33480
9045712.995000036,33790
9045713.003000036,33218
9045713.011000035,32594
9045713.184000036,32923
9045713.190000035,32508
9045713.198000034,32405
9045713.206000034,32662
9111257.866000034,32995
9111257.874000033,33155
9111257.877000034,33099
9111257.885000033,33033
9111257.893000033,33225
9111257.900000032,33700
9111257.903000033,34164
9111257.908000033,33748
9111257.917000033,32893
9111257.921000034,32969
9111257.927000033,33013
9111257.933000032,33606
9111257.940000031,33533
9111258.10900003,35099
9111258.11600003,33860
9111258.12200003,34715
9111258.130000029,35612
9111258.138000028,34703
9111258.143000029,33336
9111258.149000028,31150
9111258.157000028,30934
9111258.164000027,32250
9111258.170000026,36559
9111258.177000025,37297
9111258.185000025,37728
9111258.191000024,37537
9111258.197000023,36670
9111258.201000024,36760
9111258.209000023,36466
9111258.386000022,24786
9111258.393000022,24712
9111258.401000021,24929
9111258.40900002,24352
9111258.41500002,24251
9111258.421000019,23877
9111258.428000018,23659
9111258.436000017,23752
9111258.442000017,23457
9111258.445000017,23460
9111258.452000016,27530
9111258.460000016,26725
9111258.465000017,26261
9111258.468000017,38441
9111258.477000017,42767
9111258.482000018,42767
9111258.490000017,24818
9111258.498000016,32426
9111258.653000016,22769
9176803.216000015,22769
9176803.222000014,22769
9176803.229000013,23058
9176803.235000012,32191
9176803.238000013,35869
9176803.246000012,22769
9176803.254000012,22866
9176803.262000011,22769
9176803.26900001,22769
9176803.273000011,22769
9176803.28000001,38941
9176803.28600001,36037
9176803.29400001,26446
9176803.301000008,26510
9176803.304000009,29536
9176803.312000008,36691
9176803.320000008,30098
9176803.467000008,38171
9176803.477000007,36560
9176803.483000007,23591
9176803.491000006,30110
9176803.499000005,22769
9176803.505000005,23275
9176803.512000004,29932
9176803.520000003,27532
9176803.526000002,22769
9176803.533000002,31105
9176803.539,28117
9176803.545,27424
9176803.552,26329
9176803.557999998,27263
9176803.564999998,28877
9176803.570999997,41007
9176803.578999996,42767
9176803.584999995,42767
9176803.591999995,40639
9176803.597999994,42767
9176803.604999993,42767
9176803.743999993,38870
9176803.749999993,34618
9176803.752999993,31763
9176803.760999992,22769
9176803.768999992,32277
9176803.775999991,38029
9176803.78199999,35818
9176803.78999999,36080
9176803.79199999,35751
9176803.79999999,25273
9176803.807999989,42767
9176803.815999988,42767
9176803.821999988,42120
9176803.826999988,42767
9242338.826999988,42767
9242338.834999988,42767
9242338.842999987,42767
9242338.848999986,41799
9242338.855999986,36103
9242338.860999987,34496
9242338.864999987,42767
9242339.005999988,30368
9242339.013999987,24186
9242339.020999987,24043
9242339.026999986,23970
9242339.032999985,24362
9242339.039999984,25041
9242339.045999983,28653
9242339.053999983,30250
9242339.060999982,28137
9242339.066999981,42767
9242339.07299998,42767
9242339.077999981,42767
9242339.08599998,35923
9242339.09299998,22769
9242339.098999979,22769
9242339.106999978,22769
9242339.108999979,22769
9242339.11299998,22769
9242339.12299998,40706
9242339.130999979,42767
9242339.136999978,42767
9242339.144999977,42767
9242339.268999977,40384
9242339.272999978,39356
9242339.280999977,34314
9242339.288999977,29923
9242339.292999977,28570
9242339.296999978,25881
9242339.306999978,26372
9242339.314999977,40350
9242339.322999977,42767
9242339.330999976,42767
9242339.336999975,42767
9242339.340999976,42767
9242339.348999975,42767
9242339.351999976,42767
9242339.359999975,42767
9242339.364999976,42767
9242339.370999975,42767
9242339.380999975,42767
9242339.386999974,42767
9307883.831999974,42767
9307883.972999973,42767
9373418.972999973,42767
9373418.978999972,42767
9373418.981999973,42767
9373418.989999972,42767
9373418.996999972,42767
9373419.004999971,42767
9373419.01099997,42767
9373419.01899997,42767
9373419.02399997,42767
9373419.028999971,42767
9373419.03699997,35617
9373419.039999971,35836
9373419.04799997,42767
9373419.05599997,42767
9373419.06099997,42767
9373419.06899997,42767
9373419.07699997,40340
9373419.08499997,42767
9373419.090999968,40864
9373419.097999968,42767
9373419.274999967,28757
